"","occurrence","direction","gene_symbol"
"IL6",7,"up","IL6"
"IGFBP3",7,"up","IGFBP3"
"EGFR",7,"down","EGFR"
"SERPINE1",6,"up","SERPINE1"
"IGFBP1",6,"up","IGFBP1"
"IGFBP7",6,"up","IGFBP7"
"FAS",6,"up","FAS"
"FGF2",6,"up","FGF2"
"VEGFA",6,"up","VEGFA"
"CDKN1A",6,"up","CDKN1A"
"CDKN2A",6,"up","CDKN2A"
"STAT1",5,"up","STAT1"
"TNFRSF10C",5,"up","TNFRSF10C"
"PARP1",5,"down","PARP1"
"CXCL8",5,"up","CXCL8"
"IL1A",5,"up","IL1A"
"CXCL1",5,"up","CXCL1"
"ICAM1",5,"up","ICAM1"
"CCL2",5,"up","CCL2"
"IGFBP2",5,"up","IGFBP2"
"AXL",5,"down","AXL"
"WNT2",5,"down","WNT2"
"HMGB2",5,"down","HMGB2"
"HMGB1",5,"down","HMGB1"
"IGFBP5",5,"up","IGFBP5"
"GDF15",5,"up","GDF15"
"MDM2",5,"down","MDM2"
"CDKN2B",5,"up","CDKN2B"
"CCNA2",5,"down","CCNA2"
"CDK1",5,"down","CDK1"
"HELLS",5,"down","HELLS"
"FOXM1",5,"down","FOXM1"
"BUB1B",5,"down","BUB1B"
"LMNB1",5,"down","LMNB1"
"BRCA1",5,"down","BRCA1"
"IGF1",5,"up","IGF1"
"JUN",5,"down","JUN"
"MIF",5,"down","MIF"
"TGFB1",5,"up","TGFB1"
"HMGB3",4,"down","HMGB3"
"LBR",4,"down","LBR"
"CBS",4,"down","CBS"
"MMP1",4,"up","MMP1"
"IL1B",4,"up","IL1B"
"CXCL3",4,"up","CXCL3"
"CXCL2",4,"up","CXCL2"
"MMP10",4,"up","MMP10"
"PLAU",4,"up","PLAU"
"TNFRSF1B",4,"down","TNFRSF1B"
"ZMAT3",4,"up","ZMAT3"
"GRN",4,"up","GRN"
"CCND1",4,"up","CCND1"
"SERPINB2",4,"up","SERPINB2"
"TGFB2",4,"up","TGFB2"
"TIMP2",4,"up","TIMP2"
"CTSB",4,"up","CTSB"
"MMP12",4,"up","MMP12"
"WNT5A",4,"up","WNT5A"
"SMURF2",4,"up","SMURF2"
"MMP3",4,"up","MMP3"
"HJURP",4,"down","HJURP"
"MAD2L1",4,"down","MAD2L1"
"BUB1",4,"down","BUB1"
"BIRC5",4,"down","BIRC5"
"RRM2",4,"down","RRM2"
"UBE2C",4,"down","UBE2C"
"MYBL2",4,"down","MYBL2"
"AURKB",4,"down","AURKB"
"EZH2",4,"down","EZH2"
"CENPA",4,"down","CENPA"
"PLK1",4,"down","PLK1"
"PCNA",4,"down","PCNA"
"CDK4",4,"down","CDK4"
"CDK2",4,"down","CDK2"
"CTNNAL1",4,"down","CTNNAL1"
"KIF2C",4,"down","KIF2C"
"CHEK1",4,"down","CHEK1"
"TOPBP1",4,"down","TOPBP1"
"TWIST1",4,"down","TWIST1"
"CNOT6",4,"down","CNOT6"
"PIM1",4,"up","PIM1"
"APEX1",4,"down","APEX1"
"UHRF1",4,"down","UHRF1"
"FANCD2",4,"down","FANCD2"
"CTNNB1",4,"up","CTNNB1"
"CXCR2",4,"up","CXCR2"
"ETS2",4,"up","ETS2"
"IL15",4,"up","IL15"
"IL7",4,"up","IL7"
"MMP9",4,"up","MMP9"
"PLAUR",4,"up","PLAUR"
"TNF",4,"up","TNF"
"TP53",4,"up","TP53"
"TERT",4,"down","TERT"
"ATM",4,"up","ATM"
"WRN",4,"down","WRN"
"LMNA",4,"up","LMNA"
"KL",4,"down","KL"
"E2F1",4,"down","E2F1"
"STAT3",4,"up","STAT3"
"AKT1",4,"down","AKT1"
"HRAS",4,"up","HRAS"
"MYC",4,"down","MYC"
"ERBB2",4,"up","ERBB2"
"FOS",4,"down","FOS"
"PRKCD",4,"up","PRKCD"
"PIN1",4,"down","PIN1"
"PTEN",4,"down","PTEN"
"BCL2",4,"up","BCL2"
"CEBPB",4,"up","CEBPB"
"PML",4,"up","PML"
"GSK3B",4,"down","GSK3B"
"PRKDC",4,"down","PRKDC"
"RB1",4,"up","RB1"
"FOXO1",4,"up","FOXO1"
"RECQL4",4,"down","RECQL4"
"SOD2",4,"down","SOD2"
"RELA",4,"up","RELA"
"SIRT1",4,"down","SIRT1"
"HDAC1",4,"down","HDAC1"
"MAPK14",4,"up","MAPK14"
"MAPK9",4,"down","MAPK9"
"BMI1",4,"down","BMI1"
"MTOR",4,"up","MTOR"
"SIRT6",4,"down","SIRT6"
"PPARG",4,"down","PPARG"
"SIRT3",4,"down","SIRT3"
"CHPF2",3,"up","CHPF2"
"SLC9A7",3,"up","SLC9A7"
"TMEM30A",3,"up","TMEM30A"
"RND3",3,"up","RND3"
"PAM",3,"up","PAM"
"WDR63",3,"up","WDR63"
"GPR155",3,"up","GPR155"
"CLDN1",3,"up","CLDN1"
"FILIP1L",3,"up","FILIP1L"
"ANP32B",3,"down","ANP32B"
"CBX2",3,"down","CBX2"
"CXCL6",3,"up","CXCL6"
"CXCL5",3,"up","CXCL5"
"AREG",3,NA,"AREG"
"PLAT",3,"up","PLAT"
"IGFBP4",3,"up","IGFBP4"
"TNFRSF11B",3,NA,"TNFRSF11B"
"TIMP1",3,"up","TIMP1"
"CCL5",3,"up","CCL5"
"IGFBP6",3,NA,"IGFBP6"
"TP53INP1",3,"up","TP53INP1"
"RRM2B",3,"up","RRM2B"
"CTSD",3,NA,"CTSD"
"DPP4",3,"up","DPP4"
"NTN4",3,NA,"NTN4"
"BTG2",3,"up","BTG2"
"MXD4",3,"up","MXD4"
"ANGPTL4",3,"up","ANGPTL4"
"DUSP6",3,NA,"DUSP6"
"CTSZ",3,"up","CTSZ"
"TSC22D1",3,NA,"TSC22D1"
"EDN1",3,"up","EDN1"
"APP",3,"up","APP"
"ITGA2",3,"up","ITGA2"
"EFEMP1",3,"up","EFEMP1"
"SLC31A2",3,"up","SLC31A2"
"NDRG1",3,"up","NDRG1"
"C3",3,"up","C3"
"CXCL10",3,"up","CXCL10"
"TLR3",3,"up","TLR3"
"DDB2",3,"up","DDB2"
"NCAPG2",3,"down","NCAPG2"
"TACC3",3,"down","TACC3"
"AURKA",3,"down","AURKA"
"TTK",3,"down","TTK"
"ANLN",3,"down","ANLN"
"DEK",3,"down","DEK"
"TPX2",3,"down","TPX2"
"CDCA2",3,"down","CDCA2"
"CDC45",3,"down","CDC45"
"TOP2A",3,"down","TOP2A"
"KIF11",3,"down","KIF11"
"GMNN",3,"down","GMNN"
"HNRNPD",3,"down","HNRNPD"
"HNRNPA1",3,"down","HNRNPA1"
"TYMS",3,"down","TYMS"
"CXCL12",3,"down","CXCL12"
"PTTG1",3,"down","PTTG1"
"CDC7",3,"down","CDC7"
"KIFC1",3,"down","KIFC1"
"SRSF3",3,"down","SRSF3"
"NEK2",3,"down","NEK2"
"FBXO5",3,"down","FBXO5"
"RNASEH2A",3,"down","RNASEH2A"
"CCNB1",3,"down","CCNB1"
"CHAF1B",3,"down","CHAF1B"
"RAD51",3,"down","RAD51"
"DKC1",3,"down","DKC1"
"USP1",3,"down","USP1"
"SKP2",3,"down","SKP2"
"EIF4EBP1",3,"down","EIF4EBP1"
"DNMT1",3,"down","DNMT1"
"KIF20A",3,"down","KIF20A"
"ILF3",3,"down","ILF3"
"TCF3",3,"down","TCF3"
"TRA2B",3,"down","TRA2B"
"BLM",3,"down","BLM"
"ESPL1",3,"down","ESPL1"
"NUDT1",3,"down","NUDT1"
"CIT",3,"down","CIT"
"GTSE1",3,"down","GTSE1"
"RACGAP1",3,"down","RACGAP1"
"EGR1",3,"down","EGR1"
"PTBP1",3,"down","PTBP1"
"HMGA1",3,NA,"HMGA1"
"H2AFX",3,"down","H2AFX"
"ETS1",3,NA,"ETS1"
"RRM1",3,"down","RRM1"
"PHGDH",3,"down","PHGDH"
"EEF1E1",3,NA,"EEF1E1"
"RPS9",3,"down","RPS9"
"ORC1",3,"down","ORC1"
"GEM",3,"down","GEM"
"CCNE2",3,"down","CCNE2"
"RBL1",3,NA,"RBL1"
"XPO1",3,"up","XPO1"
"EWSR1",3,NA,"EWSR1"
"NRAS",3,"up","NRAS"
"HMGA2",3,NA,"HMGA2"
"BMP2",3,"up","BMP2"
"CCL20",3,"up","CCL20"
"CCL3",3,"up","CCL3"
"CCL7",3,"up","CCL7"
"CSF1",3,"up","CSF1"
"CSF2",3,"up","CSF2"
"DKK1",3,"up","DKK1"
"EREG",3,NA,"EREG"
"MMP13",3,"up","MMP13"
"MMP2",3,"up","MMP2"
"PAPPA",3,"up","PAPPA"
"PECAM1",3,"down","PECAM1"
"WNT16",3,"up","WNT16"
"SHC1",3,"up","SHC1"
"TXN",3,"down","TXN"
"STAT5B",3,"up","STAT5B"
"STAT5A",3,"up","STAT5A"
"NBN",3,"down","NBN"
"PDGFB",3,"up","PDGFB"
"HIF1A",3,"down","HIF1A"
"NFKB1",3,"up","NFKB1"
"TOP1",3,"up","TOP1"
"UBE2I",3,"down","UBE2I"
"TERF2",3,"down","TERF2"
"FOXO3",3,"down","FOXO3"
"HSF1",3,"down","HSF1"
"HSPA9",3,"up","HSPA9"
"HSPA1A",3,"down","HSPA1A"
"PTK2",3,"down","PTK2"
"SP1",3,"up","SP1"
"MAPK3",3,"up","MAPK3"
"MAP3K5",3,"up","MAP3K5"
"FOXO4",3,"up","FOXO4"
"HBP1",3,"up","HBP1"
"PTGS2",3,"up","PTGS2"
"TFDP1",3,"down","TFDP1"
"HDAC2",3,"down","HDAC2"
"MXD1",3,"up","MXD1"
"JAK2",3,"up","JAK2"
"NFKBIA",3,"down","NFKBIA"
"CLU",3,"down","CLU"
"ATR",3,"up","ATR"
"ZMPSTE24",3,"down","ZMPSTE24"
"TP63",3,"up","TP63"
"PPM1D",3,"down","PPM1D"
"PPARGC1A",3,"down","PPARGC1A"
"SIRT7",3,"down","SIRT7"
"TP53BP1",3,"up","TP53BP1"
"NFE2L2",3,"down","NFE2L2"
"PIK3CA",3,NA,"PIK3CA"
"FGF21",3,"up","FGF21"
"TBX2",3,"down","TBX2"
"MAP2K6",3,"down","MAP2K6"
"MAP2K3",3,"up","MAP2K3"
"MAPK1",3,"up","MAPK1"
"ID1",3,"down","ID1"
"POT1",3,"down","POT1"
"KDM6B",3,"up","KDM6B"
"PLA2R1",3,"up","PLA2R1"
"CDKN1B",3,"up","CDKN1B"
"CDK6",3,"down","CDK6"
"CAV1",3,"up","CAV1"
"KDM2B",3,"down","KDM2B"
"YPEL3",3,"up","YPEL3"
"TBX3",3,"down","TBX3"
"TAGLN",3,"up","TAGLN"
"STAT6",3,"up","STAT6"
"BRAF",3,"up","BRAF"
"SREBF1",3,"up","SREBF1"
"CPEB1",3,"up","CPEB1"
"BCL2L1",3,"up","BCL2L1"
"RBL2",3,"up","RBL2"
"RAN",3,"down","RAN"
"RAF1",3,"up","RAF1"
"CDKN2AIP",3,"up","CDKN2AIP"
"NOX4",3,"up","NOX4"
"PEBP1",3,"up","PEBP1"
"YBX1",3,"down","YBX1"
"NINJ1",3,"up","NINJ1"
"MMP7",3,"down","MMP7"
"SMAD3",3,"up","SMAD3"
"IRF7",3,"up","IRF7"
"IRF5",3,"up","IRF5"
"ING1",3,"up","ING1"
"IFNG",3,"up","IFNG"
"HSPA5",3,"down","HSPA5"
"AGO2",3,"down","AGO2"
"EHF",3,"up","EHF"
"FGFR2",3,"up","FGFR2"
"AGT",3,"up","AGT"
"GADD45G",3,"up","GADD45G"
"TMEM159",2,"up","TMEM159"
"PLD1",2,"up","PLD1"
"FAM234B",2,"up","FAM234B"
"DHRS7",2,"up","DHRS7"
"SRPX2",2,"up","SRPX2"
"PDLIM1",2,"up","PDLIM1"
"CCND3",2,"down","CCND3"
"TMEM59",2,"up","TMEM59"
"SARAF",2,"up","SARAF"
"ARRDC4",2,"up","ARRDC4"
"CLSTN2",2,"up","CLSTN2"
"NCSTN",2,"up","NCSTN"
"BLCAP",2,"up","BLCAP"
"TAP1",2,"up","TAP1"
"SAMD9L",2,"up","SAMD9L"
"POFUT2",2,"up","POFUT2"
"KIAA1671",2,"up","KIAA1671"
"LRP10",2,"up","LRP10"
"DIO2",2,"up","DIO2"
"PTCHD4",2,"up","PTCHD4"
"MCUB",2,"down","MCUB"
"FBL",2,"down","FBL"
"HIST1H1A",2,"down","HIST1H1A"
"FAM129A",2,"down","FAM129A"
"SSRP1",2,"down","SSRP1"
"TMSB15A",2,"down","TMSB15A"
"PTMA",2,"down","PTMA"
"SERPINE2",2,NA,"SERPINE2"
"IGF2",2,NA,"IGF2"
"PIK3IP1",2,"up","PIK3IP1"
"HIST1H2BK",2,"up","HIST1H2BK"
"IFI6",2,"up","IFI6"
"PINK1",2,NA,"PINK1"
"HIST1H4H",2,"up","HIST1H4H"
"HIST1H2AC",2,"up","HIST1H2AC"
"SAT1",2,"up","SAT1"
"SPARC",2,"up","SPARC"
"FAM214A",2,"up","FAM214A"
"HIST1H2BC",2,"up","HIST1H2BC"
"HIST2H2BE",2,"up","HIST2H2BE"
"MX1",2,"up","MX1"
"TRIM22",2,"up","TRIM22"
"NUAK1",2,"up","NUAK1"
"APLP1",2,"up","APLP1"
"GLRX",2,"down","GLRX"
"GPNMB",2,"up","GPNMB"
"CITED2",2,"down","CITED2"
"PSG1",2,"up","PSG1"
"MAP3K7CL",2,"up","MAP3K7CL"
"HIST1H2BD",2,"up","HIST1H2BD"
"SLC17A5",2,"up","SLC17A5"
"HSPB8",2,"up","HSPB8"
"SCD5",2,"up","SCD5"
"ASAH1",2,NA,"ASAH1"
"LRP1",2,"up","LRP1"
"TSPAN13",2,"up","TSPAN13"
"FBXO32",2,"up","FBXO32"
"ENC1",2,"up","ENC1"
"TMEM9B",2,"up","TMEM9B"
"ATP2B4",2,"up","ATP2B4"
"IGF2R",2,"up","IGF2R"
"PPP1R3C",2,"up","PPP1R3C"
"CREG1",2,"up","CREG1"
"DKK3",2,"up","DKK3"
"CLIP3",2,"up","CLIP3"
"DUSP3",2,NA,"DUSP3"
"PRNP",2,"up","PRNP"
"ADAMTS5",2,"up","ADAMTS5"
"OPTN",2,"up","OPTN"
"ISG15",2,"up","ISG15"
"SLC25A20",2,"up","SLC25A20"
"MXI1",2,"up","MXI1"
"LAMC1",2,"up","LAMC1"
"SPATA18",2,"up","SPATA18"
"PLOD1",2,"up","PLOD1"
"ATP6V0C",2,NA,"ATP6V0C"
"MANBA",2,"up","MANBA"
"LOXL2",2,NA,"LOXL2"
"AKR1B1",2,NA,"AKR1B1"
"GADD45A",2,"up","GADD45A"
"CRYAB",2,"up","CRYAB"
"TNFRSF10D",2,"up","TNFRSF10D"
"TIGAR",2,"up","TIGAR"
"CBX7",2,NA,"CBX7"
"PEA15",2,"up","PEA15"
"SEMA3C",2,"up","SEMA3C"
"CMYA5",2,"up","CMYA5"
"GBA",2,"up","GBA"
"SYT1",2,NA,"SYT1"
"KLHL24",2,"up","KLHL24"
"CPA4",2,"up","CPA4"
"ANGPT1",2,"up","ANGPT1"
"FOLR3",2,"up","FOLR3"
"FLNC",2,"up","FLNC"
"UBR3",2,"up","UBR3"
"PAPSS2",2,NA,"PAPSS2"
"CCND2",2,"up","CCND2"
"TGM2",2,"up","TGM2"
"SOX4",2,NA,"SOX4"
"FNDC3B",2,"up","FNDC3B"
"MYOZ2",2,"up","MYOZ2"
"LMCD1",2,"up","LMCD1"
"GM2A",2,"up","GM2A"
"HIST1H2BE",2,"up","HIST1H2BE"
"CTGF",2,"up","CTGF"
"TNFRSF10B",2,"up","TNFRSF10B"
"TPM2",2,"up","TPM2"
"SLC25A4",2,"up","SLC25A4"
"MYLK",2,NA,"MYLK"
"LOX",2,NA,"LOX"
"RAB40B",2,"up","RAB40B"
"TPM1",2,"up","TPM1"
"EPAS1",2,NA,"EPAS1"
"SLC16A3",2,"up","SLC16A3"
"ULBP2",2,"up","ULBP2"
"SULF2",2,"up","SULF2"
"AMPD3",2,"up","AMPD3"
"UCHL1",2,"up","UCHL1"
"HTRA1",2,"up","HTRA1"
"APOL2",2,"up","APOL2"
"TBC1D9",2,"up","TBC1D9"
"PODXL",2,"down","PODXL"
"CYB561A3",2,"up","CYB561A3"
"ABCA3",2,"up","ABCA3"
"TXNIP",2,"up","TXNIP"
"PBK",2,"down","PBK"
"EXO1",2,"down","EXO1"
"NUF2",2,"down","NUF2"
"NUSAP1",2,"down","NUSAP1"
"SKA3",2,"down","SKA3"
"TK1",2,"down","TK1"
"MELK",2,"down","MELK"
"DTL",2,"down","DTL"
"MCM3",2,"down","MCM3"
"TRIP13",2,"down","TRIP13"
"CENPU",2,"down","CENPU"
"ZWINT",2,"down","ZWINT"
"KIF23",2,"down","KIF23"
"PAICS",2,"down","PAICS"
"MKI67",2,"down","MKI67"
"H2AFZ",2,"down","H2AFZ"
"CENPF",2,"down","CENPF"
"DLGAP5",2,"down","DLGAP5"
"LMNB2",2,"down","LMNB2"
"CENPM",2,"down","CENPM"
"OLFML3",2,"up","OLFML3"
"FANCI",2,"down","FANCI"
"KPNA2",2,"down","KPNA2"
"NCAPH",2,"down","NCAPH"
"FEN1",2,"down","FEN1"
"CENPK",2,"down","CENPK"
"SPAG5",2,"down","SPAG5"
"NDC80",2,"down","NDC80"
"CDKN3",2,"down","CDKN3"
"CDC20",2,"down","CDC20"
"PRC1",2,"down","PRC1"
"NCAPG",2,"down","NCAPG"
"HNRNPA3",2,"down","HNRNPA3"
"RPL22L1",2,"down","RPL22L1"
"DEPDC1",2,"down","DEPDC1"
"CEP55",2,"down","CEP55"
"SMC4",2,"down","SMC4"
"CDC6",2,NA,"CDC6"
"GMPS",2,"down","GMPS"
"TMPO",2,"down","TMPO"
"MTHFD2",2,"down","MTHFD2"
"SHCBP1",2,"down","SHCBP1"
"ERCC6L",2,"down","ERCC6L"
"GINS2",2,"down","GINS2"
"GPSM2",2,"down","GPSM2"
"SKA1",2,"down","SKA1"
"RAD51AP1",2,"down","RAD51AP1"
"TROAP",2,"down","TROAP"
"POLA1",2,"down","POLA1"
"RFC4",2,"down","RFC4"
"PRR11",2,"down","PRR11"
"LYAR",2,"down","LYAR"
"PIMREG",2,"down","PIMREG"
"HMMR",2,"down","HMMR"
"UBE2T",2,"down","UBE2T"
"ECT2",2,"down","ECT2"
"CCNB2",2,"down","CCNB2"
"PSRC1",2,"down","PSRC1"
"CLSPN",2,"down","CLSPN"
"NDC1",2,"down","NDC1"
"POC1A",2,"down","POC1A"
"CENPE",2,"down","CENPE"
"CDKN2C",2,"down","CDKN2C"
"MCM10",2,"down","MCM10"
"FANCE",2,"down","FANCE"
"CDCA3",2,"down","CDCA3"
"RFC3",2,"down","RFC3"
"SCARA3",2,"up","SCARA3"
"HNRNPR",2,"down","HNRNPR"
"MND1",2,"down","MND1"
"ASPM",2,"down","ASPM"
"HNRNPAB",2,"down","HNRNPAB"
"CKS2",2,"down","CKS2"
"HAUS8",2,"down","HAUS8"
"FAM83D",2,"down","FAM83D"
"CDCA8",2,"down","CDCA8"
"MCM7",2,"down","MCM7"
"CKS1B",2,"down","CKS1B"
"HIST1H4C",2,"down","HIST1H4C"
"KIF4A",2,"down","KIF4A"
"BRIP1",2,"down","BRIP1"
"CDCA5",2,"down","CDCA5"
"KIF15",2,"down","KIF15"
"CENPW",2,"down","CENPW"
"BORA",2,"down","BORA"
"G2E3",2,"down","G2E3"
"NPM1",2,"down","NPM1"
"CKAP2",2,"down","CKAP2"
"PPIH",2,"down","PPIH"
"KIF20B",2,"down","KIF20B"
"SOCS2",2,"down","SOCS2"
"RBBP7",2,"down","RBBP7"
"STMN1",2,"down","STMN1"
"CBX5",2,"down","CBX5"
"C1QBP",2,"down","C1QBP"
"SPC25",2,"down","SPC25"
"SMC2",2,"down","SMC2"
"EBNA1BP2",2,"down","EBNA1BP2"
"PKMYT1",2,"down","PKMYT1"
"LDB2",2,"down","LDB2"
"PRPF38A",2,"down","PRPF38A"
"BARD1",2,"down","BARD1"
"DEPDC1B",2,"down","DEPDC1B"
"MCM2",2,"down","MCM2"
"CKAP2L",2,"down","CKAP2L"
"CDC25C",2,"down","CDC25C"
"RAD21",2,"down","RAD21"
"CENPN",2,"down","CENPN"
"MTHFD1",2,"down","MTHFD1"
"RBPMS2",2,"up","RBPMS2"
"DDIAS",2,"down","DDIAS"
"DPYSL3",2,"down","DPYSL3"
"COLEC12",2,"up","COLEC12"
"YEATS4",2,"down","YEATS4"
"STIL",2,"down","STIL"
"MIS18A",2,"down","MIS18A"
"ARHGAP11A",2,"down","ARHGAP11A"
"GINS4",2,"down","GINS4"
"INSIG1",2,"up","INSIG1"
"OIP5",2,"down","OIP5"
"GGCT",2,"down","GGCT"
"SCD",2,"down","SCD"
"CDCA4",2,"down","CDCA4"
"HIST1H3J",2,"down","HIST1H3J"
"POLD1",2,"down","POLD1"
"MDK",2,"down","MDK"
"MATN2",2,"up","MATN2"
"KDM1A",2,"down","KDM1A"
"ENO1",2,"down","ENO1"
"PLK4",2,"down","PLK4"
"TRIM28",2,NA,"TRIM28"
"KIF18A",2,"down","KIF18A"
"CIP2A",2,"down","CIP2A"
"CDCA7L",2,"down","CDCA7L"
"PARPBP",2,"down","PARPBP"
"GAS2L3",2,"down","GAS2L3"
"SGO1",2,"down","SGO1"
"CEP128",2,"down","CEP128"
"POLQ",2,"down","POLQ"
"CENPH",2,"down","CENPH"
"KIF22",2,"down","KIF22"
"APOBEC3B",2,"down","APOBEC3B"
"CENPI",2,"down","CENPI"
"ESCO2",2,"down","ESCO2"
"MBOAT1",2,"down","MBOAT1"
"RMI2",2,"down","RMI2"
"PHB2",2,"down","PHB2"
"CNTRL",2,"down","CNTRL"
"DSCC1",2,"down","DSCC1"
"NEIL3",2,"down","NEIL3"
"KIF18B",2,"down","KIF18B"
"KIF14",2,"down","KIF14"
"SELENBP1",2,NA,"SELENBP1"
"COL5A3",2,"down","COL5A3"
"NUP35",2,"down","NUP35"
"BAZ1A",2,"down","BAZ1A"
"DDX11",2,"down","DDX11"
"HTRA3",2,"up","HTRA3"
"KNSTRN",2,"down","KNSTRN"
"TIMELESS",2,"down","TIMELESS"
"RBP1",2,NA,"RBP1"
"MRTO4",2,"down","MRTO4"
"KITLG",2,"down","KITLG"
"SLC25A5",2,"down","SLC25A5"
"ORC6",2,"down","ORC6"
"E2F2",2,"down","E2F2"
"DOCK11",2,"down","DOCK11"
"TRAP1",2,"down","TRAP1"
"RUVBL1",2,"down","RUVBL1"
"SLC1A3",2,"down","SLC1A3"
"CDK5RAP2",2,"down","CDK5RAP2"
"PRMT6",2,"down","PRMT6"
"HIST1H2AJ",2,"down","HIST1H2AJ"
"CCT5",2,"down","CCT5"
"EMILIN1",2,"down","EMILIN1"
"BUB3",2,"down","BUB3"
"ENPP2",2,"up","ENPP2"
"NCAPD2",2,"down","NCAPD2"
"HIST1H3I",2,"down","HIST1H3I"
"NEURL1B",2,"down","NEURL1B"
"MT1E",2,"down","MT1E"
"FANCA",2,"down","FANCA"
"CCDC58",2,"down","CCDC58"
"MTFR2",2,"down","MTFR2"
"PTX3",2,"up","PTX3"
"HAS2",2,"down","HAS2"
"CGAS",2,"up","CGAS"
"RPL5",2,"down","RPL5"
"HAUS4",2,"down","HAUS4"
"SPHK1",2,"down","SPHK1"
"SFRP1",2,NA,"SFRP1"
"HSPA2",2,"down","HSPA2"
"HNRNPC",2,NA,"HNRNPC"
"PHC1",2,"down","PHC1"
"DNA2",2,"down","DNA2"
"OLFML2A",2,"up","OLFML2A"
"ANG",2,NA,"ANG"
"BMP6",2,NA,"BMP6"
"CCL1",2,NA,"CCL1"
"CCL13",2,NA,"CCL13"
"CCL26",2,NA,"CCL26"
"CCL4",2,"up","CCL4"
"CCL8",2,"up","CCL8"
"CD55",2,NA,"CD55"
"CD9",2,NA,"CD9"
"CSF2RB",2,NA,"CSF2RB"
"CXCL16",2,"up","CXCL16"
"EGF",2,NA,"EGF"
"ESM1",2,"up","ESM1"
"FGF7",2,NA,"FGF7"
"GMFG",2,NA,"GMFG"
"HGF",2,NA,"HGF"
"ICAM3",2,NA,"ICAM3"
"IL13",2,NA,"IL13"
"IL18",2,"up","IL18"
"IL2",2,NA,"IL2"
"IL6ST",2,NA,"IL6ST"
"INHA",2,NA,"INHA"
"ITPKA",2,NA,"ITPKA"
"MMP14",2,NA,"MMP14"
"NRG1",2,NA,"NRG1"
"PGF",2,"down","PGF"
"PIGF",2,NA,"PIGF"
"PTGER2",2,"down","PTGER2"
"PTGES",2,NA,"PTGES"
"RPS6KA5",2,NA,"RPS6KA5"
"TNFRSF1A",2,NA,"TNFRSF1A"
"VEGFC",2,NA,"VEGFC"
"IGF1R",2,NA,"IGF1R"
"NFKB2",2,"down","NFKB2"
"HDAC3",2,"down","HDAC3"
"NGF",2,NA,"NGF"
"IRS1",2,NA,"IRS1"
"PTPN1",2,NA,"PTPN1"
"PDGFRB",2,"down","PDGFRB"
"EPOR",2,"down","EPOR"
"PPARA",2,"down","PPARA"
"UBB",2,NA,"UBB"
"HSP90AA1",2,"down","HSP90AA1"
"BRCA2",2,"down","BRCA2"
"PDPK1",2,"up","PDPK1"
"CEBPA",2,"up","CEBPA"
"STK11",2,"up","STK11"
"EP300",2,"up","EP300"
"TERF1",2,NA,"TERF1"
"AR",2,"up","AR"
"XRCC5",2,"down","XRCC5"
"XRCC6",2,"down","XRCC6"
"BAX",2,"up","BAX"
"SOD1",2,"down","SOD1"
"A2M",2,"up","A2M"
"PON1",2,"down","PON1"
"RGN",2,"down","RGN"
"ERCC1",2,"down","ERCC1"
"HSPD1",2,"down","HSPD1"
"MAPK8",2,NA,"MAPK8"
"YWHAZ",2,"down","YWHAZ"
"FGFR1",2,"up","FGFR1"
"FLT1",2,"down","FLT1"
"EEF1A1",2,NA,"EEF1A1"
"TFAP2A",2,"up","TFAP2A"
"DDIT3",2,"up","DDIT3"
"SUMO1",2,"up","SUMO1"
"ESR1",2,"down","ESR1"
"LEP",2,"up","LEP"
"LEPR",2,"up","LEPR"
"ELN",2,NA,"ELN"
"GCLM",2,"down","GCLM"
"STUB1",2,"down","STUB1"
"CHEK2",2,"up","CHEK2"
"CDC42",2,NA,"CDC42"
"ARNTL",2,NA,"ARNTL"
"AGTR1",2,"up","AGTR1"
"SUN1",2,NA,"SUN1"
"BAK1",2,"up","BAK1"
"TP73",2,NA,"TP73"
"GSK3A",2,"down","GSK3A"
"SQSTM1",2,"up","SQSTM1"
"CCNE1",2,"up","CCNE1"
"MAPKAPK5",2,"up","MAPKAPK5"
"SRF",2,"down","SRF"
"OPA1",2,"down","OPA1"
"E2F3",2,"down","E2F3"
"CDKN2D",2,"up","CDKN2D"
"RBX1",2,"down","RBX1"
"CD44",2,"up","CD44"
"SLC16A7",2,"down","SLC16A7"
"MCM3AP",2,"down","MCM3AP"
"TNFSF13",2,"down","TNFSF13"
"PNPT1",2,"up","PNPT1"
"DPY30",2,"down","DPY30"
"CALR",2,"down","CALR"
"KAT6A",2,"down","KAT6A"
"ZNF148",2,"down","ZNF148"
"YY1",2,"down","YY1"
"NR1H2",2,"down","NR1H2"
"UBE3A",2,"down","UBE3A"
"HIRA",2,"up","HIRA"
"SOX5",2,"up","SOX5"
"SNAI1",2,"down","SNAI1"
"SMARCB1",2,"up","SMARCB1"
"SMARCA2",2,"down","SMARCA2"
"SLC13A3",2,"up","SLC13A3"
"ANAPC1",2,"down","ANAPC1"
"SRSF1",2,"up","SRSF1"
"S100A6",2,"down","S100A6"
"RBP2",2,"down","RBP2"
"RBBP4",2,"down","RBBP4"
"EP400",2,"down","EP400"
"CBX8",2,"down","CBX8"
"PSMB5",2,"down","PSMB5"
"PROX1",2,"up","PROX1"
"MAP2K7",2,"up","MAP2K7"
"MAP2K1",2,"up","MAP2K1"
"MAPK11",2,"up","MAPK11"
